type_encoded,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],temp_difference,power,tool_wear_ratio,Machine failure,TWF,HDF,PWF,OSF,RNF
2,298.8,309.2,1306,54.5,50,10.399999999999977,7.4530890052356025,0.1976284584980237,0,0,0,0,0,0
1,298.9,309.3,1632,32.5,55,10.400000000000034,5.55392670157068,0.21739130434782608,0,0,0,0,0,0
2,298.9,309.3,1375,42.7,58,10.400000000000034,6.147905759162304,0.22924901185770752,0,0,0,0,0,0
0,298.8,309.3,1450,44.8,63,10.5,6.802094240837696,0.2490118577075099,0,0,0,0,0,0
1,298.9,309.3,1581,30.7,65,10.400000000000034,5.082376963350785,0.25691699604743085,0,0,0,0,0,0
0,299.0,309.4,1758,25.7,68,10.399999999999977,4.730952879581151,0.26877470355731226,0,0,0,0,0,0
1,299.0,309.4,1561,37.3,70,10.399999999999977,6.09689005235602,0.2766798418972332,0,0,0,0,0,0
0,299.0,309.5,1861,23.3,73,10.5,4.540450261780105,0.2885375494071146,0,0,0,0,0,0
0,299.1,309.5,1512,39.0,75,10.399999999999977,6.174659685863874,0.2964426877470356,0,0,0,0,0,0
2,299.1,309.4,1811,24.6,77,10.299999999999955,4.664984293193718,0.30434782608695654,0,0,0,0,0,0
0,299.1,309.4,1439,44.2,82,10.299999999999955,6.660083769633508,0.3241106719367589,0,0,0,0,0,0
0,299.0,309.4,1693,30.1,84,10.399999999999977,5.336052356020943,0.33201581027667987,0,0,0,0,0,0
1,299.1,309.5,1339,48.2,86,10.399999999999977,6.758094240837696,0.33992094861660077,0,0,0,0,0,0
0,299.0,309.4,1798,25.5,89,10.399999999999977,4.800942408376963,0.35177865612648224,0,0,0,0,0,0
0,299.0,309.4,1419,48.3,91,10.399999999999977,7.176722513089005,0.35968379446640314,0,0,0,0,0,0
0,298.9,309.3,1665,32.5,93,10.400000000000034,5.6662303664921465,0.3675889328063241,0,0,0,0,0,0
1,298.8,309.1,1559,34.7,95,10.300000000000011,5.664638743455498,0.37549407114624506,0,0,0,0,0,0
1,298.8,309.2,1452,48.6,98,10.399999999999977,7.3892356020942405,0.38735177865612647,0,0,0,0,0,0
1,298.9,309.2,1581,36.7,101,10.300000000000011,6.075675392670157,0.39920948616600793,0,0,0,0,0,0
0,298.8,309.1,1439,39.2,104,10.300000000000011,5.906680628272252,0.41106719367588934,0,0,0,0,0,0
2,298.9,309.2,1379,50.7,106,10.300000000000011,7.320973821989529,0.4189723320158103,0,0,0,0,0,0
0,298.8,309.1,1350,52.5,111,10.300000000000011,7.4214659685863875,0.43873517786561267,0,0,0,0,0,0
0,298.8,309.1,1362,45.4,113,10.300000000000011,6.474848167539267,0.44664031620553357,0,0,0,0,0,0
0,298.8,309.1,1368,50.8,115,10.300000000000011,7.276900523560209,0.45454545454545453,0,0,0,0,0,0
1,298.8,309.1,1368,49.1,117,10.300000000000011,7.0333821989528795,0.4624505928853755,0,0,0,0,0,0
2,298.8,309.2,1372,48.5,120,10.399999999999977,6.967748691099477,0.4743083003952569,0,0,0,0,0,0
1,298.8,309.1,1472,47.5,125,10.300000000000011,7.321465968586388,0.49407114624505927,0,0,0,0,0,0
0,298.8,309.1,1489,49.1,128,10.300000000000011,7.655486910994766,0.5059288537549407,0,0,0,0,0,0
1,298.7,309.0,1843,25.8,130,10.300000000000011,4.978994764397906,0.5138339920948617,0,0,0,0,0,0
0,298.8,309.1,1418,46.3,133,10.300000000000011,6.874701570680628,0.525691699604743,0,0,0,0,0,0
2,298.8,309.2,1425,53.9,135,10.399999999999977,8.042670157068063,0.5335968379446641,0,0,0,0,0,0
1,298.9,309.2,1412,44.1,140,10.300000000000011,6.520335078534032,0.5533596837944664,0,0,0,0,0,0
0,298.9,309.1,2861,4.6,143,10.200000000000045,1.3780732984293191,0.5652173913043478,1,0,0,1,0,0
0,298.9,309.1,1383,54.9,145,10.200000000000045,7.950439790575916,0.5731225296442688,0,0,0,0,0,0
2,298.8,309.0,1497,43.8,147,10.199999999999989,6.865821989528795,0.5810276679841897,0,0,0,0,0,0
0,298.7,309.0,1565,35.1,152,10.300000000000011,5.751989528795812,0.6007905138339921,0,0,0,0,0,0
0,298.7,309.0,1691,30.1,154,10.300000000000011,5.329748691099477,0.6086956521739131,0,0,0,0,0,0
0,298.8,309.1,1512,40.7,156,10.300000000000011,6.443811518324607,0.616600790513834,0,0,0,0,0,0
0,298.8,309.1,1477,42.4,158,10.300000000000011,6.557570680628272,0.6245059288537549,0,0,0,0,0,0
0,298.8,309.1,1513,40.3,160,10.300000000000011,6.384701570680628,0.6324110671936759,0,0,0,0,0,0
1,298.8,309.0,1661,29.5,162,10.199999999999989,5.130837696335078,0.6403162055335968,0,0,0,0,0,0
0,298.8,309.1,1378,54.4,165,10.300000000000011,7.849549738219895,0.6521739130434783,0,0,0,0,0,0
0,298.8,309.1,1393,52.6,167,10.300000000000011,7.6724397905759165,0.6600790513833992,0,0,0,0,0,0
1,298.8,309.0,1592,38.2,169,10.199999999999989,6.368,0.6679841897233202,0,0,0,0,0,0
0,298.8,309.0,1829,22.9,172,10.199999999999989,4.385769633507853,0.6798418972332015,0,0,0,0,0,0
1,298.9,309.0,1812,25.9,174,10.100000000000023,4.914219895287958,0.6877470355731226,0,0,0,0,0,0
0,299.0,309.1,1523,38.6,177,10.100000000000023,6.155790575916231,0.6996047430830039,0,0,0,0,0,0
0,299.0,309.1,1394,45.1,179,10.100000000000023,6.583183246073299,0.7075098814229249,0,0,0,0,0,0
1,298.9,308.9,1679,28.7,181,10.0,5.04579057591623,0.7154150197628458,0,0,0,0,0,0
2,298.8,308.9,1466,44.1,184,10.099999999999966,6.7696963350785335,0.7272727272727273,0,0,0,0,0,0
0,298.8,308.9,1527,32.4,189,10.099999999999966,5.180607329842932,0.7470355731225297,0,0,0,0,0,0
0,298.9,309.0,1410,65.7,191,10.100000000000023,9.70020942408377,0.7549407114624506,1,0,0,1,1,0
1,298.9,309.0,1924,22.6,193,10.100000000000023,4.553130890052357,0.7628458498023716,0,0,0,0,0,0
0,298.9,309.1,1452,45.5,196,10.200000000000045,6.917905759162304,0.7747035573122529,0,0,0,0,0,0
0,298.9,309.1,1369,44.4,198,10.200000000000045,6.364774869109947,0.782608695652174,0,0,0,0,0,0
0,299.0,309.1,1592,35.0,200,10.100000000000023,5.83455497382199,0.7905138339920948,0,0,0,0,0,0
0,298.9,309.0,1601,32.3,202,10.100000000000023,5.414900523560209,0.7984189723320159,0,0,0,0,0,0
0,298.8,308.9,1379,46.7,204,10.099999999999966,6.7433821989528795,0.8063241106719368,0,0,0,0,0,0
0,298.8,308.9,1461,47.9,206,10.099999999999966,7.327947643979057,0.8142292490118577,0,0,0,0,0,0
0,298.8,308.9,1455,41.3,208,10.099999999999966,6.292303664921465,0.8221343873517787,1,1,0,0,0,0
0,298.8,308.9,1398,51.5,0,10.099999999999966,7.538952879581152,0.0,0,0,0,0,0,0
0,298.8,308.9,1402,37.9,2,10.099999999999966,5.563958115183246,0.007905138339920948,0,0,0,0,0,0
2,298.8,308.8,1445,49.9,4,10.0,7.550314136125654,0.015810276679841896,0,0,0,0,0,0
0,298.9,308.9,1450,47.5,9,10.0,7.212041884816754,0.03557312252964427,0,0,0,0,0,0
0,298.9,308.9,1453,40.8,11,10.0,6.20758115183246,0.043478260869565216,0,0,0,0,0,0
0,299.0,309.0,1469,40.1,13,10.0,6.168261780104713,0.05138339920948617,0,0,0,0,0,0
0,298.9,308.9,1422,47.6,15,10.0,7.087664921465969,0.05928853754940711,0,0,0,0,0,0
1,299.0,309.0,1804,26.8,17,10.0,5.062534031413613,0.06719367588932806,0,0,0,0,0,0
2,299.0,309.0,1436,43.9,20,10.0,6.601089005235602,0.07905138339920949,0,0,0,0,0,0
0,299.0,309.0,1544,31.8,25,10.0,5.141277486910996,0.09881422924901186,0,0,0,0,0,0
1,299.0,309.0,1419,45.2,27,10.0,6.7161047120418855,0.1067193675889328,0,0,0,0,0,0
1,298.9,308.9,1487,39.5,30,10.0,6.150418848167539,0.11857707509881422,0,0,0,0,0,0
0,298.9,308.9,1753,25.8,33,10.0,4.735853403141362,0.13043478260869565,0,0,0,0,0,0
0,298.9,308.9,1830,24.9,35,10.0,4.771413612565445,0.1383399209486166,0,0,0,0,0,0
1,298.9,308.9,1727,27.1,37,10.0,4.900701570680629,0.14624505928853754,0,0,0,0,0,0
0,299.1,309.0,1450,43.0,40,9.899999999999977,6.528795811518324,0.15810276679841898,0,0,0,0,0,0
0,299.0,308.9,1622,31.9,42,9.899999999999977,5.417989528795811,0.16600790513833993,0,0,0,0,0,0
1,299.0,309.0,1351,52.2,44,10.0,7.3845235602094235,0.17391304347826086,0,0,0,0,0,0
1,299.0,309.0,1575,35.3,47,10.0,5.8217277486910985,0.1857707509881423,0,0,0,0,0,0
1,298.9,308.9,1750,29.9,50,10.0,5.479057591623037,0.1976284584980237,0,0,0,0,0,0
0,298.9,308.8,1529,32.7,53,9.900000000000034,5.235424083769634,0.20948616600790515,0,0,0,0,0,0
0,298.8,308.8,1523,44.4,55,10.0,7.08075392670157,0.21739130434782608,0,0,0,0,0,0
0,298.8,308.9,1852,25.0,57,10.099999999999966,4.848167539267016,0.22529644268774704,0,0,0,0,0,0
0,298.8,308.8,1991,20.7,59,10.0,4.315570680628272,0.233201581027668,0,0,0,0,0,0
0,298.8,308.8,1555,40.6,61,10.0,6.610785340314136,0.24110671936758893,0,0,0,0,0,0
1,298.8,308.8,1441,40.5,63,10.0,6.111047120418848,0.2490118577075099,0,0,0,0,0,0
0,298.8,308.7,1450,43.4,66,9.899999999999977,6.5895287958115185,0.2608695652173913,0,0,0,0,0,0
0,298.8,308.7,1591,31.1,68,9.899999999999977,5.181162303664922,0.26877470355731226,0,0,0,0,0,0
0,298.8,308.7,1445,48.5,70,9.899999999999977,7.3384816753926705,0.2766798418972332,0,0,0,0,0,0
1,298.8,308.8,1497,46.8,72,10.0,7.336083769633507,0.2845849802371542,0,0,0,0,0,0
2,298.9,308.8,1621,32.7,75,9.900000000000034,5.550439790575917,0.2964426877470356,0,0,0,0,0,0
0,298.9,308.7,1572,34.1,80,9.800000000000011,5.61310994764398,0.31620553359683795,0,0,0,0,0,0
0,298.8,308.6,1872,22.5,82,9.800000000000011,4.4104712041884815,0.3241106719367589,0,0,0,0,0,0
2,298.7,308.6,1499,43.5,84,9.900000000000034,6.827905759162304,0.33201581027667987,0,0,0,0,0,0
1,298.8,308.7,1498,39.5,89,9.899999999999977,6.1959162303664925,0.35177865612648224,0,0,0,0,0,0
1,298.8,308.6,1486,41.9,92,9.800000000000011,6.5197277486911,0.36363636363636365,0,0,0,0,0,0
0,298.8,308.6,1680,29.4,95,9.800000000000011,5.171937172774869,0.37549407114624506,0,0,0,0,0,0
0,298.8,308.6,1431,45.7,97,9.800000000000011,6.847821989528796,0.383399209486166,0,0,0,0,0,0
0,298.9,308.7,1564,34.1,99,9.800000000000011,5.584544502617801,0.391304347826087,0,0,0,0,0,0
0,298.8,308.6,1599,33.0,101,9.800000000000011,5.525340314136126,0.39920948616600793,0,0,0,0,0,0
1,298.8,308.6,1707,28.1,103,9.800000000000011,5.02269109947644,0.40711462450592883,0,0,0,0,0,0
0,298.7,308.5,1467,40.7,106,9.800000000000011,6.252031413612565,0.4189723320158103,0,0,0,0,0,0
0,298.9,308.7,1433,44.7,108,9.800000000000011,6.707340314136126,0.4268774703557312,0,0,0,0,0,0
0,298.9,308.7,1558,41.2,110,9.800000000000011,6.721424083769634,0.43478260869565216,0,0,0,0,0,0
0,299.0,308.8,1310,50.7,112,9.800000000000011,6.9546596858638745,0.4426877470355731,0,0,0,0,0,0
0,298.9,308.7,1546,43.4,114,9.800000000000011,7.025801047120418,0.4505928853754941,0,0,0,0,0,0
0,298.9,308.7,1727,29.4,116,9.800000000000011,5.316628272251308,0.45849802371541504,0,0,0,0,0,0
0,298.9,308.6,1560,32.2,118,9.700000000000045,5.259895287958116,0.466403162055336,0,0,0,0,0,0
0,299.0,308.6,1329,60.5,120,9.600000000000023,8.419319371727749,0.4743083003952569,0,0,0,0,0,0
0,298.9,308.6,1413,46.5,122,9.700000000000045,6.880052356020943,0.48221343873517786,0,0,0,0,0,0
0,299.0,308.6,1587,38.6,124,9.600000000000023,6.414471204188482,0.4901185770750988,0,0,0,0,0,0
0,298.9,308.5,1559,34.3,126,9.600000000000023,5.599340314136126,0.4980237154150198,0,0,0,0,0,0
0,298.8,308.4,1473,41.1,128,9.599999999999966,6.339298429319372,0.5059288537549407,0,0,0,0,0,0
0,298.8,308.4,1737,27.7,130,9.599999999999966,5.03820942408377,0.5138339920948617,0,0,0,0,0,0
1,298.7,308.4,1441,43.2,132,9.699999999999989,6.518450261780105,0.5217391304347826,0,0,0,0,0,0
1,298.7,308.4,1430,49.6,135,9.699999999999989,7.427015706806283,0.5335968379446641,0,0,0,0,0,0
0,298.8,308.4,1369,53.0,138,9.599999999999966,7.597591623036649,0.5454545454545454,0,0,0,0,0,0
1,298.8,308.5,1711,28.5,140,9.699999999999989,5.106125654450262,0.5533596837944664,0,0,0,0,0,0
2,298.7,308.5,1420,45.7,143,9.800000000000011,6.795183246073299,0.5652173913043478,0,0,0,0,0,0
0,298.7,308.6,1297,55.3,148,9.900000000000034,7.510376963350785,0.5849802371541502,0,0,0,0,0,0
2,298.8,308.6,1449,49.4,150,9.800000000000011,7.495350785340313,0.5928853754940712,0,0,0,0,0,0
0,298.8,308.6,1268,55.8,155,9.800000000000011,7.408837696335078,0.6126482213438735,0,0,0,0,0,0
0,298.8,308.6,1511,36.1,157,9.800000000000011,5.711738219895288,0.6205533596837944,0,0,0,0,0,0
0,298.7,308.5,1544,35.2,159,9.800000000000011,5.690973821989529,0.6284584980237155,0,0,0,0,0,0
1,298.6,308.4,1778,28.2,161,9.799999999999955,5.250219895287958,0.6363636363636364,0,0,0,0,0,0
2,298.6,308.4,1407,50.5,164,9.799999999999955,7.4401570680628275,0.6482213438735178,0,0,0,0,0,0
1,298.6,308.4,1391,42.4,169,9.799999999999955,6.175748691099477,0.6679841897233202,0,0,0,0,0,0
0,298.5,308.4,1513,33.6,172,9.899999999999977,5.3232251308900524,0.6798418972332015,0,0,0,0,0,0
2,298.5,308.4,1612,36.1,174,9.899999999999977,6.093528795811519,0.6877470355731226,0,0,0,0,0,0
0,298.4,308.4,1515,40.1,179,10.0,6.361413612565445,0.7075098814229249,0,0,0,0,0,0
1,298.3,308.3,1379,48.0,181,10.0,6.93109947643979,0.7154150197628458,0,0,0,0,0,0
0,298.4,308.3,1473,39.9,184,9.900000000000034,6.15420942408377,0.7272727272727273,0,0,0,0,0,0
0,298.4,308.3,1422,42.7,186,9.900000000000034,6.358052356020942,0.7351778656126482,0,0,0,0,0,0
1,298.4,308.2,1463,37.6,188,9.800000000000011,5.760083769633508,0.7430830039525692,0,0,0,0,0,0
1,298.4,308.2,1584,41.0,191,9.800000000000011,6.800418848167539,0.7549407114624506,0,0,0,0,0,0
0,298.4,308.2,1850,27.0,194,9.800000000000011,5.230366492146596,0.766798418972332,0,0,0,0,0,0
0,298.4,308.2,1528,36.2,196,9.800000000000011,5.792000000000001,0.7747035573122529,0,0,0,0,0,0
2,298.4,308.2,1987,19.8,198,9.800000000000011,4.119643979057591,0.782608695652174,0,0,0,0,0,0
1,298.4,308.1,1495,46.0,203,9.700000000000045,7.201047120418848,0.8023715415019763,0,0,0,0,0,0
2,298.4,308.2,1478,43.5,206,9.800000000000011,6.732251308900524,0.8142292490118577,0,0,0,0,0,0
1,298.4,308.2,1499,40.0,211,9.800000000000011,6.278534031413613,0.83399209486166,0,0,0,0,0,0
0,298.4,308.2,1471,47.0,214,9.800000000000011,7.239476439790576,0.8458498023715415,0,0,0,0,0,0
0,298.4,308.2,1282,60.7,216,9.800000000000011,8.148418848167541,0.8537549407114624,1,0,0,0,1,0
0,298.3,308.1,1412,52.3,218,9.800000000000011,7.732732984293193,0.8616600790513834,1,0,0,0,1,0
0,298.3,308.1,1586,35.5,0,9.800000000000011,5.895602094240838,0.0,0,0,0,0,0,0
1,298.4,308.2,1468,43.8,2,9.800000000000011,6.732816753926701,0.007905138339920948,0,0,0,0,0,0
1,298.5,308.3,1440,43.6,5,9.800000000000011,6.574240837696335,0.019762845849802372,0,0,0,0,0,0
0,298.5,308.4,1733,26.0,8,9.899999999999977,4.7181151832460735,0.03162055335968379,0,0,0,0,0,0
2,298.4,308.2,1612,32.6,10,9.800000000000011,5.502743455497383,0.039525691699604744,0,0,0,0,0,0
2,298.4,308.3,1458,42.9,15,9.900000000000034,6.549549738219895,0.05928853754940711,0,0,0,0,0,0
0,298.4,308.3,1433,62.3,20,9.900000000000034,9.348261780104712,0.07905138339920949,1,0,0,1,0,0
0,298.4,308.3,1318,59.1,22,9.900000000000034,8.15641884816754,0.08695652173913043,0,0,0,0,0,0
1,298.4,308.2,1610,35.0,24,9.800000000000011,5.900523560209424,0.09486166007905138,0,0,0,0,0,0
0,298.2,308.1,1462,50.8,27,9.900000000000034,7.776921465968585,0.1067193675889328,0,0,0,0,0,0
1,298.1,308.0,1924,20.8,29,9.899999999999977,4.190492146596859,0.11462450592885376,0,0,0,0,0,0
1,298.2,308.0,1591,33.7,32,9.800000000000011,5.614314136125655,0.12648221343873517,0,0,0,0,0,0
0,298.2,308.1,1306,58.3,35,9.900000000000034,7.972753926701571,0.1383399209486166,0,0,0,0,0,0
0,298.2,308.1,1382,43.5,37,9.900000000000034,6.294973821989529,0.14624505928853754,0,0,0,0,0,0
0,298.2,308.1,1618,34.7,39,9.900000000000034,5.879015706806284,0.1541501976284585,0,0,0,0,0,0
0,298.2,308.2,1988,21.4,41,10.0,4.454785340314136,0.16205533596837945,0,0,0,0,0,0
0,298.2,308.2,1436,50.2,43,10.0,7.548397905759162,0.16996047430830039,0,0,0,0,0,0
0,298.2,308.3,1304,49.8,45,10.100000000000023,6.799916230366492,0.17786561264822134,0,0,0,0,0,0
0,298.2,308.3,1475,49.9,47,10.100000000000023,7.707068062827225,0.1857707509881423,0,0,0,0,0,0
2,298.2,308.3,1824,24.2,49,10.100000000000023,4.622073298429319,0.19367588932806323,0,0,0,0,0,0
1,298.1,308.2,1342,48.1,54,10.099999999999966,6.759183246073299,0.2134387351778656,0,0,0,0,0,0
0,298.1,308.2,1485,40.7,57,10.099999999999966,6.328743455497383,0.22529644268774704,0,0,0,0,0,0
0,298.2,308.2,1667,30.6,59,10.0,5.34138219895288,0.233201581027668,0,0,0,0,0,0
0,298.2,308.2,1446,38.2,61,10.0,5.784000000000001,0.24110671936758893,0,0,0,0,0,0
0,298.1,308.3,1301,56.0,63,10.199999999999989,7.628900523560209,0.2490118577075099,0,0,0,0,0,0
0,298.2,308.4,1379,43.1,65,10.199999999999989,6.223549738219895,0.25691699604743085,0,0,0,0,0,0
0,298.3,308.5,1606,33.6,67,10.199999999999989,5.650429319371728,0.2648221343873518,0,0,0,0,0,0
1,298.3,308.4,1539,43.4,69,10.099999999999966,6.993989528795811,0.2727272727272727,0,0,0,0,0,0
0,298.2,308.4,1477,49.9,72,10.199999999999989,7.7175183246073304,0.2845849802371542,0,0,0,0,0,0
0,298.2,308.4,1666,34.6,74,10.199999999999989,6.035979057591623,0.2924901185770751,0,0,0,0,0,0
2,298.2,308.4,1398,51.8,76,10.199999999999989,7.5828691099476435,0.30039525691699603,0,0,0,0,0,0
2,298.2,308.4,1678,34.6,81,10.199999999999989,6.079455497382199,0.3201581027667984,0,0,0,0,0,0
1,298.2,308.5,2678,10.7,86,10.300000000000011,3.00048167539267,0.33992094861660077,1,0,0,1,0,0
0,298.3,308.5,1453,42.9,89,10.199999999999989,6.527089005235601,0.35177865612648224,0,0,0,0,0,0
2,298.3,308.6,1432,49.5,91,10.300000000000011,7.422408376963351,0.35968379446640314,0,0,0,0,0,0
1,298.4,308.6,1527,40.9,96,10.200000000000045,6.53971727748691,0.3794466403162055,0,0,0,0,0,0
0,298.4,308.7,1588,35.0,99,10.300000000000011,5.819895287958115,0.391304347826087,0,0,0,0,0,0
0,298.4,308.6,1433,47.1,101,10.200000000000045,7.067465968586387,0.39920948616600793,0,0,0,0,0,0
0,298.4,308.6,1609,35.0,103,10.200000000000045,5.896858638743455,0.40711462450592883,0,0,0,0,0,0
0,298.3,308.5,1575,41.2,105,10.199999999999989,6.79476439790576,0.4150197628458498,0,0,0,0,0,0
1,298.4,308.5,1636,35.7,107,10.100000000000023,6.1157277486911,0.42292490118577075,0,0,0,0,0,0
0,298.4,308.5,1490,37.9,110,10.100000000000023,5.913193717277487,0.43478260869565216,0,0,0,0,0,0
0,298.4,308.5,1741,32.8,112,10.100000000000023,5.979560209424084,0.4426877470355731,0,0,0,0,0,0
1,298.5,308.6,1344,53.0,114,10.100000000000023,7.458848167539267,0.4505928853754941,0,0,0,0,0,0
0,298.5,308.7,1609,35.3,117,10.199999999999989,5.9474031413612565,0.4624505928853755,0,0,0,0,0,0
1,298.4,308.7,1421,60.7,119,10.300000000000011,9.031905759162303,0.47035573122529645,1,0,0,1,0,0
0,298.4,308.6,1591,36.7,122,10.200000000000045,6.114104712041885,0.48221343873517786,0,0,0,0,0,0
0,298.4,308.6,1477,44.0,124,10.200000000000045,6.805026178010471,0.4901185770750988,0,0,0,0,0,0
0,298.4,308.7,1523,36.1,126,10.300000000000011,5.757099476439791,0.4980237154150198,0,0,0,0,0,0
0,298.5,308.7,1575,33.9,128,10.199999999999989,5.590837696335078,0.5059288537549407,0,0,0,0,0,0
2,298.4,308.7,1344,52.9,130,10.300000000000011,7.4447748691099465,0.5138339920948617,0,0,0,0,0,0
0,298.4,308.7,1386,44.9,135,10.300000000000011,6.516376963350785,0.5335968379446641,0,0,0,0,0,0
1,298.3,308.6,1589,37.1,137,10.300000000000011,6.172973821989529,0.541501976284585,0,0,0,0,0,0
0,298.3,308.6,1548,40.3,140,10.300000000000011,6.5323979057591615,0.5533596837944664,0,0,0,0,0,0
0,298.3,308.6,1499,38.3,142,10.300000000000011,6.0116963350785335,0.5612648221343873,0,0,0,0,0,0
0,298.3,308.5,1664,31.6,144,10.199999999999989,5.506010471204188,0.5691699604743083,0,0,0,0,0,0
0,298.3,308.6,1447,38.1,146,10.300000000000011,5.7728481675392675,0.5770750988142292,0,0,0,0,0,0
1,298.3,308.5,1434,46.2,148,10.199999999999989,6.937256544502618,0.5849802371541502,0,0,0,0,0,0
0,298.3,308.5,1416,52.7,151,10.199999999999989,7.813947643979057,0.5968379446640316,0,0,0,0,0,0
2,298.4,308.5,1827,24.3,153,10.100000000000023,4.6488062827225125,0.6047430830039525,0,0,0,0,0,0
0,298.4,308.6,1304,45.0,158,10.200000000000045,6.144502617801047,0.6245059288537549,0,0,0,0,0,0
0,298.4,308.6,1569,34.4,160,10.200000000000045,5.651685863874345,0.6324110671936759,0,0,0,0,0,0
0,298.3,308.6,1584,29.3,162,10.300000000000011,4.859811518324608,0.6403162055335968,0,0,0,0,0,0
0,298.3,308.5,1362,53.8,164,10.199999999999989,7.672837696335078,0.6482213438735178,0,0,0,0,0,0
0,298.3,308.4,1329,49.2,166,10.099999999999966,6.8467853403141365,0.6561264822134387,0,0,0,0,0,0
0,298.3,308.5,1539,36.1,168,10.199999999999989,5.817581151832461,0.6640316205533597,0,0,0,0,0,0
1,298.3,308.5,1629,37.1,170,10.199999999999989,6.328366492146597,0.6719367588932806,0,0,0,0,0,0
0,298.3,308.5,1538,32.2,173,10.199999999999989,5.185717277486912,0.6837944664031621,0,0,0,0,0,0
0,298.3,308.6,1570,34.8,175,10.300000000000011,5.721047120418848,0.691699604743083,0,0,0,0,0,0
0,298.3,308.4,1408,43.1,177,10.099999999999966,6.354429319371728,0.6996047430830039,0,0,0,0,0,0
0,298.2,308.4,1424,47.6,179,10.199999999999989,7.097633507853404,0.7075098814229249,0,0,0,0,0,0
0,298.2,308.4,1512,34.9,181,10.199999999999989,5.525528795811518,0.7154150197628458,0,0,0,0,0,0
0,298.2,308.4,1478,42.9,183,10.199999999999989,6.639392670157068,0.7233201581027668,0,0,0,0,0,0
1,298.1,308.3,1680,33.7,185,10.199999999999989,5.928376963350786,0.7312252964426877,0,0,0,0,0,0
0,298.1,308.3,1495,38.7,188,10.199999999999989,6.058272251308901,0.7430830039525692,0,0,0,0,0,0
1,298.0,308.1,1552,36.6,190,10.100000000000023,5.947979057591623,0.7509881422924901,0,0,0,0,0,0
0,297.9,308.1,1393,50.3,193,10.200000000000045,7.336952879581151,0.7628458498023716,0,0,0,0,0,0
0,298.0,308.2,1611,30.6,195,10.199999999999989,5.161947643979058,0.7707509881422925,0,0,0,0,0,0
1,298.0,308.1,1339,51.6,197,10.100000000000023,7.234806282722514,0.7786561264822134,0,0,0,0,0,0
0,298.0,308.1,1777,24.3,200,10.100000000000023,4.521581151832461,0.7905138339920948,0,0,0,0,0,0
0,298.0,308.2,1348,58.8,202,10.199999999999989,8.2997277486911,0.7984189723320159,1,0,0,0,1,0
0,298.0,308.2,1442,44.1,204,10.199999999999989,6.658869109947644,0.8063241106719368,0,0,0,0,0,0
1,298.0,308.2,1395,49.1,206,10.199999999999989,7.172198952879581,0.8142292490118577,0,0,0,0,0,0
1,297.9,308.1,1627,31.4,209,10.200000000000045,5.349507853403141,0.8260869565217391,0,0,0,0,0,0
0,297.9,308.1,1585,33.5,212,10.200000000000045,5.559947643979058,0.8379446640316206,0,0,0,0,0,0
0,298.0,308.2,1469,45.5,214,10.199999999999989,6.998900523560209,0.8458498023715415,0,0,0,0,0,0
0,298.0,308.3,1362,56.8,216,10.300000000000011,8.100691099476439,0.8537549407114624,1,0,0,0,1,0
